,Year,What is your level of English?,What is your level of programming experience?,What is your level of Python programming experience?,What is your level of machine learning (/deep learning) experience?,What is your attitude towards mathematics?
259,2024,3,4,2,1,1
202,2023,2,2,2,2,0
172,2022,3,4,2,2,1
32,2020,2,4,1,1,0
110,2021,3,2,0,1,1
71,2021,4,4,3,3,0
184,2023,2,3,3,1,2
242,2024,3,4,2,3,1
91,2021,4,4,4,4,1
195,2023,3,4,2,3,1
204,2023,4,4,2,3,2
15,2020,2,2,0,0,0
97,2021,2,4,0,0,0
193,2023,4,4,4,4,2
221,2023,5,1,1,0,0
217,2023,4,4,4,1,0
88,2021,3,4,4,3,0
87,2021,3,3,2,3,1
205,2023,4,3,3,3,1
173,2022,4,4,3,3,0
203,2023,3,3,3,1,0
45,2020,4,4,4,5,2
141,2022,4,4,2,3,1
107,2021,4,2,2,1,-1
181,2023,4,4,2,4,2
9,2020,4,4,2,1,0
79,2021,4,4,4,5,1
58,2020,3,4,1,1,1
95,2021,3,3,2,4,2
197,2023,4,3,1,3,2
164,2022,4,4,4,3,0
246,2024,4,4,3,1,-1
255,2024,3,1,2,1,0
38,2020,3,2,3,2,2
126,2022,3,4,3,2,0
108,2021,4,4,3,2,-1
57,2020,5,4,2,3,1
118,2021,4,4,1,3,1
33,2020,3,3,2,2,0
165,2022,3,4,3,3,2
228,2023,5,4,2,3,2
223,2023,4,4,4,4,1
48,2020,3,4,4,2,2
237,2023,3,3,1,1,1
216,2023,4,4,2,3,1
234,2023,4,4,3,3,0
248,2024,5,4,3,2,-1
42,2020,4,4,1,1,1
10,2020,4,2,1,1,2
210,2023,4,4,1,1,0
251,2024,3,4,3,1,0
102,2021,4,4,2,3,1
143,2022,4,4,2,3,1
201,2023,4,4,3,3,0
99,2021,3,4,3,4,2
208,2023,3,4,2,3,0
61,2020,3,0,0,0,1
207,2023,4,2,1,1,0
83,2021,3,3,3,3,1
20,2020,3,4,3,1,2
142,2022,4,2,2,3,1
43,2020,3,2,2,3,2
219,2023,3,3,3,3,2
136,2022,4,4,4,3,1
231,2023,4,4,2,1,0
170,2022,4,4,3,3,1
215,2023,3,4,2,3,0
131,2022,3,4,0,1,0
250,2024,3,2,2,1,1
150,2022,4,4,4,3,1
12,2020,4,4,1,1,-2
8,2020,4,2,0,1,1
122,2021,3,2,2,2,1
198,2023,3,4,2,3,0
171,2022,3,4,2,3,1
129,2022,4,4,2,2,-1
24,2020,4,2,3,1,0
213,2023,5,2,2,2,2
124,2022,3,2,2,3,0
227,2023,4,4,3,1,-1
175,2023,4,4,4,4,2
36,2020,3,2,1,0,1
252,2024,3,4,3,3,-2
140,2022,4,4,3,4,0
19,2020,4,4,1,1,0
200,2023,3,4,1,1,0
16,2020,3,4,2,2,-1
29,2020,4,4,2,3,0
63,2021,4,4,4,4,-1
174,2022,4,3,3,4,1
158,2022,4,3,2,3,1
152,2022,4,4,2,3,0
189,2023,4,4,3,4,2
245,2024,3,4,2,1,-1
68,2021,4,4,3,3,0
84,2021,3,4,0,1,0
199,2023,4,4,2,3,0
64,2021,4,4,2,1,0
233,2023,4,4,0,3,2
34,2020,4,4,1,2,0
39,2020,3,4,2,3,1
98,2021,4,3,3,2,2
161,2022,4,2,2,1,1
70,2021,3,2,2,3,1
137,2022,4,4,2,1,0
236,2023,3,4,3,4,2
92,2021,3,4,4,5,0
258,2024,4,4,2,2,0
100,2021,4,3,2,1,2
82,2021,2,1,1,0,0
30,2020,3,4,4,2,1
235,2023,3,2,0,1,1
160,2022,3,4,1,1,0
256,2024,4,4,3,3,1
22,2020,3,4,1,3,1
187,2023,4,4,1,2,0
114,2021,3,2,3,1,1
106,2021,3,4,1,3,2
49,2020,3,4,4,2,1
86,2021,4,3,3,3,1
148,2022,3,4,2,3,-1
177,2023,3,4,2,1,0
54,2020,4,4,2,3,1
179,2023,3,2,0,3,1
176,2023,4,4,4,3,2
194,2023,4,3,2,3,0
157,2022,4,4,3,2,1
69,2021,4,3,3,4,1
135,2022,3,3,3,2,1
146,2022,3,4,2,3,-1
214,2023,2,2,1,2,0
46,2020,3,2,1,1,1
6,2020,3,4,1,2,0
183,2023,3,4,1,1,0
218,2023,4,4,2,3,1
232,2023,2,2,2,0,1
257,2024,4,4,2,1,1
188,2023,4,4,2,3,0
167,2022,3,1,1,1,1
132,2022,4,4,2,2,0
85,2021,3,2,2,2,0
182,2023,3,4,2,3,1
7,2020,4,4,3,3,-1
23,2020,2,3,1,1,1
5,2020,4,4,1,2,1
11,2020,4,4,3,3,-1
113,2021,5,3,2,3,1
65,2021,3,3,3,3,1
21,2020,3,2,1,1,1
112,2021,2,3,3,2,1
40,2020,4,4,4,3,2
52,2020,4,3,2,1,2
147,2022,4,3,2,3,0
53,2020,3,4,3,3,1
90,2021,4,4,1,1,0
119,2021,2,4,1,1,0
128,2022,4,4,4,2,0
76,2021,3,3,0,1,1
243,2024,4,4,2,3,1
222,2023,4,4,2,3,2
211,2023,2,4,2,1,1
109,2021,4,3,3,2,2
191,2023,3,2,2,2,0
125,2022,4,4,4,2,-1
220,2023,4,3,2,1,1
94,2021,3,2,0,1,0
73,2021,3,2,2,3,2
144,2022,4,4,2,3,0
121,2021,4,0,0,1,0
104,2021,4,3,1,1,0
17,2020,4,4,2,3,0
72,2021,4,4,4,4,1
67,2021,2,2,2,3,2
28,2020,2,4,3,3,0
78,2021,4,4,3,4,2
116,2021,4,4,4,5,1
247,2024,4,3,3,1,1
1,2020,4,4,0,1,2
103,2021,3,2,0,0,1
169,2022,3,4,4,1,0
224,2023,2,4,2,1,0
89,2021,4,4,4,4,1
50,2020,2,4,0,1,1
18,2020,4,4,2,2,2
133,2022,4,4,4,4,1
123,2021,4,4,1,1,1
4,2020,3,4,4,3,1
74,2021,4,4,3,1,0
96,2021,3,1,0,1,1
75,2021,4,4,2,3,-1
111,2021,2,2,2,1,2
31,2020,3,2,0,1,2
56,2020,3,4,1,1,0
196,2023,4,4,2,1,2
115,2021,4,4,3,4,1
3,2020,4,3,1,1,0
168,2022,3,2,2,2,0
190,2023,3,4,2,1,-1
47,2020,3,4,3,2,1
117,2021,4,4,4,3,1
105,2021,4,4,3,1,1
77,2021,4,4,4,3,1
226,2023,4,4,3,1,1
212,2023,3,4,2,3,0
155,2022,4,4,1,1,0
81,2021,3,4,4,5,1
44,2020,4,4,2,3,0
134,2022,3,4,1,1,1
